rating,display_name,brand_name,list_price
4.4687,HD Complexion Starter Kit,MAKE UP FOR EVER,$79.00
4.2308,Try. Believe. Love. Kit,bareMinerals,$20.00
4.1667,Argan Matchmaker Complexion Kit,Josie Maran,$68.00
4.4912,bareMinerals Customizable Get Started Kit,bareMinerals,$49.00
4,bareMinerals® Get Started® Kit,bareMinerals,$49.00
4.2951,Oil Free Flawless Face Kit,Laura Mercier,$65.00
4.4109,Flawless Face Kit,Laura Mercier,$65.00
4.1684,Start Getting Naked Ultra Definition Complexion Kit,Urban Decay,$49.00
3.9549,How To Look The Best At Everything,Benefit Cosmetics,$32.00
4.5776,Discover The Amazon 3-Piece Kit,Tarte,$34.50
3.8571,Perfect Pair,bareMinerals,$35.00
3.5294,The Face: Radiant Femme Artistry Set,SEPHORA+PANTONE UNIVERSE,$75.00
4.1927,Try It Kit: Halo + BB,Smashbox,$29.00
4.1395,bareMinerals READY® To Go Complexion Perfection Palette,bareMinerals,$49.00
4.5323,Natural Face Natural Radiance Face Palette,Too Faced,$39.00
4.1429,The Flawless Face Book,Laura Mercier,$59.00
4.7273,Amazing Concealer Flawless Face Kit,Amazing Cosmetics,$47.00
0,Bronzed And Blushing Face Palette,SEPHORA COLLECTION,$15.00
4.7171,Bronzing Powder,NARS,$38.00
4.3684,The Multiple,NARS,$39.00
4.4695,Naked Flushed,Urban Decay,$30.00
3.96,Matte Multiple,NARS,$39.00
4.583,Blush/Bronzer Duo,NARS,$24.00 - $42.00
4.6504,Hoola,Benefit Cosmetics,$28.00
4.6023,Bronzing Powder,Bobbi Brown,$38.00
4.7031,Milk Chocolate Soleil Light/Medium Matte Bronzer,Too Faced,$30.00
4.9,Bonjour Soleil Limited Edition Summer Bronzing Wardrobe,Too Faced,$44.00
4.5267,Shimmer Brick - Bronze,Bobbi Brown,$42.00
4.5737,Terracotta Bronzing Powder,Guerlain,$52.00
4.4825,Terracotta Light Sheer Bronzing Powder,Guerlain,$52.00
4.5301,bareMinerals Faux Tan All-Over Face Color,bareMinerals,$19.00
4.286,Fusion Soft Lights,Smashbox,$30.00
4.371,Bronzer,SEPHORA COLLECTION,$17.00
4.6671,Chocolate Soleil Medium/Deep Matte Bronzer,Too Faced,$30.00
4.6211,Amazonian Clay Matte Waterproof Bronzer,Tarte,$29.00
4.5652,Diorskin Nude Tan Healthy Glow Enhancing Powder,Dior,$55.00
4.6383,Mat Bronze,MAKE UP FOR EVER,$32.00
0,The Sculptor Contouring Face Slenderizer,Tarte,$24.00
4.5245,Bronze Lights,Smashbox,$29.00
4,Foundation Primer - Radiance Bronze,Laura Mercier,$33.00
4.5808,Dallas,Benefit Cosmetics,$28.00
4.5535,Sun Bunny Natural Bronzer,Too Faced,$30.00
4.4056,Baked Bronzer,Urban Decay,$26.00
4.75,Bronzer Oil-Free,Shiseido,$35.00
4.6092,Mineral Powder Bronzer,Tarte,$29.00
4.6481,MicroSmooth Baked Sculpting Contour Trio,SEPHORA COLLECTION,$21.00
4.4329,Diorskin Nude BB Creme,Dior,$44.00
4.2843,Premium Beauty Balm SPF 45,Dr. Jart+,$39.00
4.0997,Camera Ready BB Cream SPF 35,Smashbox,$19.50 - $39.00
4.347,Color Control Cushion Compact Broad Spectrum SPF 50+,AmorePacific,$60.00
4.3196,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,Tarte,$10.00 - $34.00
3.9594,Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,Smashbox,$19.50 - $42.00
3.8945,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,CLINIQUE,$35.00
3.9335,CC Cream Broad Spectrum SPF 30 Complexion Corrector,Peter Thomas Roth,$48.00
3.9261,BB Cream Broad Spectrum SPF 35,Bobbi Brown,$44.00
3.9496,B.B. Cream Broad Spectrum SPF 27 PA++,boscia,$18.00 - $38.00
4.1678,Black Label Detox BB Beauty Balm,Dr. Jart+,$18.00 - $36.00
3.5701,The Big Easy Liquid To Powder SPF 35 Foundation,Benefit Cosmetics,$38.00
4.3382,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,Tarte,$36.00
4.4,CC Cream SPF 35,Bobbi Brown,$44.00
3.9137,Hydra Life BB Creme Broad Spectrum SPF 30,Dior,$56.00
3.8792,Naked Skin Beauty Balm Broad Spectrum SPF 20,Urban Decay,$14.00 - $34.00
4.1707,CC Color Correcting Cream Broad Spectrum SPF 20,Stila,$44.00
4.24,Hydra Life BB Eye Crème,Dior,$45.00
4.4922,Veil Mineral Primer Broad Spectrum SPF 15,Hourglass,$18.00 - $72.00
4.3846,Iconic Photo Finish Foundation Primer,Smashbox,$10.00 - $49.00
4.1587,HD Microperfecting Primer,MAKE UP FOR EVER,$34.00
4.0833,POREfect Hideaway,Benefit Cosmetics,$31.00
4.3724,All Nighter Long-Lasting Makeup Setting Spray,Urban Decay,$14.00 - $30.00
4.6734,Blush,NARS,$30.00
4.4971,Ambient Lighting Blush,Hourglass,$35.00
4.3684,The Multiple,NARS,$39.00
4.4695,Naked Flushed,Urban Decay,$30.00
4.6616,Amazonian Clay 12-Hour Blush,Tarte,$26.00
4.4885,Dandelion,Benefit Cosmetics,$28.00
3.4493,The NARSissist Cheek Kit,NARS,$49.00
3.96,Matte Multiple,NARS,$39.00
4.583,Blush/Bronzer Duo,NARS,$24.00 - $42.00
4.6875,Cheek Pop,CLINIQUE,$21.00
4.2948,Benetint,Benefit Cosmetics,$30.00
4.6028,bareMinerals Blush,bareMinerals,$19.00
4.8132,HD Blush,MAKE UP FOR EVER,$26.00
4.5706,Rosy Glow Healthy Glow Awakening Blush,Dior,$44.00
3.8378,Cheek Stain,Tarte,$30.00
4.5,Argan Infinity Lip And Cheek Creamy Oil,Josie Maran,$18.00
4.4896,Sweethearts Perfect Flush Blush,Too Faced,$30.00
4.5579,Blush,Bobbi Brown,$26.00
4.6335,bareMinerals Original Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.3102,Ambient Lighting Powder,Hourglass,$45.00
4.3992,bareMinerals Matte Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.5205,Diorskin Forever Compact Flawless Perfection Fusion Wear Makeup SPF 25,Dior,$50.00
4.6322,Translucent Loose Setting Powder,Laura Mercier,$35.00
4.4019,HD Microfinish Powder,MAKE UP FOR EVER,$19.00 - $34.00
4.6065,Mineral Veil,bareMinerals,$20.00
4.5111,Duo Mat Powder Foundation,MAKE UP FOR EVER,$34.00
4.3711,'Hello Flawless!' SPF 15,Benefit Cosmetics,$34.00
3.5034,READY® Foundation Broad Spectrum SPF 20,bareMinerals,$29.00
4.5192,bareMinerals Broad Spectrum  Multi-Tasking Face,bareMinerals,$18.00
4.2308,Try. Believe. Love. Kit,bareMinerals,$20.00
3.9146,Pro Finish Multi-Use Powder Foundation,MAKE UP FOR EVER,$36.00
4.508,DUAL FINISH - Versatile Powder Makeup,Lancôme,$38.50
4.4861,Mineral Powder SPF 15,Laura Mercier,$38.00
4.3825,HALO Hydrating Perfecting Powder,Smashbox,$22.00 - $49.00
4.5839,bareMinerals All-Over Face Color,bareMinerals,$19.00
4.2969,Amazonian Clay Airbrush Foundation,Tarte,$36.00
4,Smooth Finish Foundation Powder,Laura Mercier,$45.00
4.25,bareMinerals Matte Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.4912,bareMinerals Customizable Get Started Kit,bareMinerals,$49.00
4.3481,Stay-Matte Sheer Pressed Powder,CLINIQUE,$23.00
4.5746,Sheer Finish Pressed Powder,Bobbi Brown,$37.00
3.962,8 HR Mattifying Compact Foundation,SEPHORA COLLECTION,$22.00
3.8673,Instant Mineral Powder SPF 45,Peter Thomas Roth,$30.00
4.466,Snow Bunny Luminous Bronzer,Too Faced,$30.00
0,Maracuja Bronzing Serum,Tarte,$47.00
4.3604,bareMinerals READY™ Bronzer,bareMinerals,$24.00
4.375,Limited Edition Illuminating Bronzing Powder,Bobbi Brown,$38.00
4.0988,Pink Leopard Blushing Bronzer,Too Faced,$30.00
4.6522,Bronzing Skin Perfector,BECCA,$36.00
4.575,Illuminating Bronzing Powder,Bobbi Brown,$38.00
4.287,MicroSmooth Baked Bronzer Duo,SEPHORA COLLECTION,$19.00
4.3878,Sun Beam,Benefit Cosmetics,$26.00
4.6033,True Bronze Pressed Powder Bronzer,CLINIQUE,$26.00
5,Radiance Baked Body Bronzer,Laura Mercier,$55.00
4.5333,Terracotta 4 Seasons Tailor-Made Bronzing Powder,Guerlain,$76.00
4.5818,Hot Escapes Bronzer,Buxom,$28.00
4.4571,Poudre Bonne Mine Healthy Glow Powder,Givenchy,$50.00
4.7143,Set & Bronze Baked Powder Trio,Stila,$34.00
3.9682,Skin Perfect CC Cream SPF 20,SEPHORA COLLECTION,$26.00
4.375,Perfect Hydrating BB Cream Broad Spectrum SPF 35 Sunscreen,Shiseido,$33.00
3.8528,Perfect Truth™ CC Crème Broad Spectrum SPF 30,Ole Henriksen,$36.00
4.042,The Original BB Cream Set,Dr. Jart+,$34.00
4,Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30,bareMinerals,$26.00
4.1751,Tinted Beauty Balm SPF 20,Too Faced,$34.00
3.9107,Age Defense BB Cream Broad Spectrum SPF 30,CLINIQUE,$37.00
4.069,Top Secrets All-In-One BB Cream Skintone Corrector,Yves Saint Laurent,$50.00
5,DayWear BB Anti-Oxidant Beauty Benefit Creme SPF 35,Estee Lauder,$39.00
4.0804,Stay All Day® 10-In-One HD Illuminating Beauty Balm With Broad Spectrum SPF 30,Stila,$38.00
4.175,Hope In A Jar® A To Z Cream Broad Spectrum SPF 20 Sunscreen Complexion Perfecting BB Cream,Philosophy,$38.00
4,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,Lancôme,$45.00
3.8421,Airflash CC Primer - Radiance Booster Color Correcting Primer,Dior,$49.00
4.2703,The POREfessional,Benefit Cosmetics,$31.00
4.3196,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,Tarte,$10.00 - $34.00
3.7302,Dr. Feelgood,Benefit Cosmetics,$31.00
4.4504,Prime Time™ Foundation Primer,bareMinerals,$23.00
4.3953,Foundation Primer - Hydrating,Laura Mercier,$33.00
3.9504,Foundation Primer - Oil Free,Laura Mercier,$19.50 - $33.00
4.2099,Meteorites Light-Diffusing Perfecting Primer,Guerlain,$73.00
4.3798,Primed & Poreless Skin Smoothing Face Primer,Too Faced,$30.00
4.05,Argan Lip & Cheek Color Stick Set,Josie Maran,$34.00
4.3,Lollitint,Benefit Cosmetics,$30.00
4.5267,Shimmer Brick - Bronze,Bobbi Brown,$42.00
4.2957,Posietint,Benefit Cosmetics,$30.00
4.4289,Shimmer Bloc,Laura Mercier,$40.00
4.61,Le Prisme Blush Powder Blush,Givenchy,$44.00
4.397,Colorful Blush,SEPHORA COLLECTION,$15.00
4.5197,Coconut Watercolor Cheek Gelée,Josie Maran,$22.00
4.6571,The Blush Luminous Cheek Colour,Dolce & Gabbana,$45.00
4.6788,CRÈME DE BLUSH - Soft Blush,Yves Saint Laurent,$38.00
4.4348,Pot Rouge For Lips And Cheeks,Bobbi Brown,$26.00
4.1481,Beach Tint,BECCA,$25.00
4.4938,Rockateur,Benefit Cosmetics,$28.00
4.286,Fusion Soft Lights,Smashbox,$30.00
4.5711,CORALista,Benefit Cosmetics,$28.00
4.5606,Second Skin Cheek Colour,Laura Mercier,$26.00
4.1767,Mineral Pressed Powder SPF 15,Laura Mercier,$38.00
4.4625,bareMinerals Mineral Veil Broad Spectrum SPF 25,bareMinerals,$20.00
4.5,DiorSkin Forever Wear-Extending Invisible Retouch Powder,Dior,$44.00
4.3815,Light Reflecting Loose Setting Powder,NARS,$35.00
4.5833,Diorskin Nude Compact,Dior,$50.00
4.625,Teint Couture Long-Wearing Compact Foundation SPF 10 PA++,Givenchy,$55.00
4.4074,The Foundation Perfect Finish Powder Foundation,Dolce & Gabbana,$60.00
4.34,Superpowder Double Face Makeup,CLINIQUE,$23.00
4.2054,Pressed Mineral Foundation,COVER FX,$35.00
4.1,HD Pressed Powder,MAKE UP FOR EVER,$22.00 - $36.00
4.0302,Lock-It Powder Foundation,Kat Von D,$34.00
4.6769,Naked Skin Ultra Definition Loose Finishing Powder,Urban Decay,$34.00
4.0535,bareMinerals READY™ Touch Up Veil Broad Spectrum SPF 15,bareMinerals,$22.00
4.0545,Pure Transformation Night Treatment,bareMinerals,$60.00
4.4667,Brightening Finishing Powder,Bobbi Brown,$52.00
4.215,MicroSmooth Baked Foundation Face Powder,SEPHORA COLLECTION,$22.00
4.4448,Smooth Operator™ Amazonian Clay Finishing Powder,Tarte,$29.00
4.0183,Argan Matchmaker Powder Foundation SPF 20,Josie Maran,$34.00
4.4184,Powder Foundation SPF 12,NARS,$45.00
3.966,Light Reflecting Pressed Setting Powder,NARS,$35.00
4.3577,Almost Powder SPF 15,CLINIQUE,$26.00
4.2778,Le Prisme Visage Mat Soft Compact Face Powder,Givenchy,$47.00
4.3874,Super Matte Loose Powder,MAKE UP FOR EVER,$28.00
4.6228,Matte Radiance Baked Powder Compact,Laura Mercier,$36.00
4.5813,The Makeup Powdery Foundation,Shiseido,$8.00 - $29.50
4.4012,Blended Face Powder and Brush,CLINIQUE,$23.00
4.5301,bareMinerals Faux Tan All-Over Face Color,bareMinerals,$19.00
4.3597,HD Invisible Cover Foundation,MAKE UP FOR EVER,$42.00
4.4044,Diorskin Airflash Spray Foundation,Dior,$62.00
4.2035,Immaculate Liquid Powder Foundation Mattifying Oil Free,Hourglass,$55.00
4.6335,bareMinerals Original Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.4329,Diorskin Nude BB Creme,Dior,$44.00
4.3422,Lock-It Tattoo Foundation,Kat Von D,$34.00
4.2843,Premium Beauty Balm SPF 45,Dr. Jart+,$39.00
4.2265,Even Better Makeup SPF 15,CLINIQUE,$27.00
4.0997,Camera Ready BB Cream SPF 35,Smashbox,$19.50 - $39.00
4.3992,bareMinerals Matte Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.4748,Tinted Moisturizer Broad Spectrum SPF 20,Laura Mercier,$20.50 - $43.00
4.3771,TOUCHE ÉCLAT - Radiant Touch,Yves Saint Laurent,$41.00
4.3595,Amazing Concealer,Amazing Cosmetics,$42.00
4.398,Radiant Creamy Concealer,NARS,$29.00
4.0833,POREfect Hideaway,Benefit Cosmetics,$31.00
4.3674,Full Cover Concealer,MAKE UP FOR EVER,$32.00
4.5192,bareMinerals Broad Spectrum  Multi-Tasking Face,bareMinerals,$18.00
4.143,Secret Camouflage,Laura Mercier,$32.00
3.9822,Fake Up Concealer,Benefit Cosmetics,$24.00
4.269,Boi-ing,Benefit Cosmetics,$20.00
3.7855,Creamy Concealer Kit,Bobbi Brown,$34.00
4.5952,Re(Marc)able Full Cover Concealer,Marc Jacobs Beauty,$32.00
4.4549,EFFACERNES - Waterproof Protective Undereye Concealer,Lancôme,$30.50
4.0826,HD Invisible Cover Concealer,MAKE UP FOR EVER,$29.00
3.9626,Lock-It Tattoo Concealer,Kat Von D,$25.00
4.3348,Mister Light Instant Light Corrective Pen,Givenchy,$34.00
4.1781,Erase Paste,Benefit Cosmetics,$26.00
4.2596,bareminerals® Stroke of Light™ Eye Brightener,bareMinerals,$22.00
4.3655,Diorskin Nude Skin Perfecting Hydrating Concealer,Dior,$32.00
3.9393,Concealer,NARS,$24.00
3.9614,Maracuja Creaseless Concealer,Tarte,$24.00
3.9843,bareminerals® Correcting Concealer Broad Spectrum SPF 20,bareMinerals,$20.00
4.7059,Everlasting Bronzer,Kat Von D,$25.00
4.6923,Diorskin Nude Tan Nude Glow Sun Powder,Dior,$52.00
4.8333,The Bronzer Glow Bronzing Powder,Dolce & Gabbana,$51.00
4.2716,Superficial Waterproof Bronzer,Hourglass,$45.00
